id,study,subgroup,outcome,n,mean,sd,min,q1,median,q3,max
45,"Konrads et al., 2016",BPTB,instrumented_laxity,24,1.80,0.51,1,,,,3
45,"Konrads et al., 2016",BPTB,tegner,24,5.90,1.28,4,,,,9
45,"Konrads et al., 2016",BPTB,lysholm,24,92.00,8.99,63,,,,98
45,"Konrads et al., 2016",HT,instrumented_laxity,23,2.20,0.78,1,,,,4
45,"Konrads et al., 2016",HT,tegner,23,5.10,1.04,3,,,,7
45,"Konrads et al., 2016",HT,lysholm,23,91.80,9.33,62,,,,98
46,"Laoruengthana et al., 2009",BPTB,instrumented_laxity,15,1.22,0.69,0.3,,,,2.7
46,"Laoruengthana et al., 2009",HT,instrumented_laxity,13,0.96,0.42,0.2,,,,1.6
49,"Laxdal et al., 2005",BPTB,tegner,40,6.00,1.85,2,,,,10
49,"Laxdal et al., 2005",BPTB,lysholm,40,94.00,18.09,22,,,,100
49,"Laxdal et al., 2005",BPTB,instrumented_laxity,40,1.00,3.01,-5,,,,8
,"Laxdal et al., 2005",HT,tegner,78,4.00,1.64,,,,,
,"Laxdal et al., 2005",HT,lysholm,78,92.00,13.40,,,,,
,"Laxdal et al., 2005",HT,instrumented_laxity,78,1.50,3.12,,,,,
51,"Li et al., 2015",HT,instrumented_laxity,32,2.10,1.60,,,,,
51,"Li et al., 2015",HT,ikdc,32,87.50,3.20,,,,,
51,"Li et al., 2015",HT,tegner,32,7.30,1.30,,,,,
51,"Li et al., 2015",HT,lysholm,32,91.30,11.50,,,,,
51,"Li et al., 2015",TA,instrumented_laxity,32,3.50,1.20,,,,,
51,"Li et al., 2015",TA,ikdc,32,83.80,6.90,,,,,
51,"Li et al., 2015",TA,tegner,32,7.00,2.10,,,,,
51,"Li et al., 2015",TA,lysholm,32,88.70,8.60,,,,,
52,"Lidén et al., 2007",BPTB,tegner,30,5.00,1.72,0,,,,7
52,"Lidén et al., 2007",BPTB,lysholm,30,81.00,18.38,25,,,,100
52,"Lidén et al., 2007",BPTB,instrumented_laxity,30,2.30,3.06,-3.5,,,,9
52,"Lidén et al., 2007",HT,tegner,32,6.00,1.69,2,,,,9
52,"Lidén et al., 2007",HT,lysholm,32,90.00,12.10,50,,,,100
52,"Lidén et al., 2007",HT,instrumented_laxity,32,2.70,3.39,-4.5,,,,9.5
53,"Lind et al., 2020",HT,ikdc,49,78.00,18.00,,,,,
53,"Lind et al., 2020",HT,tegner,49,5.90,1.30,,,,,
53,"Lind et al., 2020",HT,instrumented_laxity,49,1.90,1.70,,,,,
53,"Lind et al., 2020",QT,ikdc,47,82.00,14.00,,,,,
53,"Lind et al., 2020",QT,tegner,47,6.00,1.50,,,,,
53,"Lind et al., 2020",QT,instrumented_laxity,47,1.80,1.00,,,,,
54,"Lucidi et al., 2025",BPTB,ikdc,19,78.40,13.70,,,,,
54,"Lucidi et al., 2025",BPTB,tegner,19,3.00,1.08,1,,,,5
54,"Lucidi et al., 2025",BPTB,lysholm,19,84.80,10.30,,,,,
54,"Lucidi et al., 2025",BPTB,instrumented_laxity,19,-0.10,1.60,,,,,
54,"Lucidi et al., 2025",HT,ikdc,20,81.60,11.90,,,,,
54,"Lucidi et al., 2025",HT,tegner,20,4.00,0.80,3,,,,6
54,"Lucidi et al., 2025",HT,lysholm,20,88.60,8.30,,,,,
54,"Lucidi et al., 2025",HT,instrumented_laxity,20,1.50,1.20,,,,,
55,"Lui et al., 2012",BPTB,ikdc,14,71.90,15.20,,,,,
55,"Lui et al., 2012",BPTB,lysholm,14,84.00,13.47,54,,,,100
55,"Lui et al., 2012",BPTB,instrumented_laxity,14,3.70,1.40,,,,,
55,"Lui et al., 2012",HT,ikdc,17,73.10,12.30,,,,,
55,"Lui et al., 2012",HT,lysholm,17,80.00,15.59,43,,,,99
55,"Lui et al., 2012",HT,instrumented_laxity,17,3.10,1.60,,,,,
56,"Lund et al., 2014",BPTB,instrumented_laxity,18,1.10,1.40,,,,,
56,"Lund et al., 2014",BPTB,ikdc,18,75.00,13.00,,,,,
56,"Lund et al., 2014",QT,instrumented_laxity,21,0.80,1.70,,,,,
56,"Lund et al., 2014",QT,ikdc,21,76.00,16.00,,,,,
58,"Malik et al., 2026",HT,ikdc,25,78.90,7.40,,,,,
58,"Malik et al., 2026",HT,lysholm,25,85.10,6.40,,,,,
58,"Malik et al., 2026",HT,tegner,25,5.10,1.00,,,,,
58,"Malik et al., 2026",HT,instrumented_laxity,25,2.10,1.00,,,,,
58,"Malik et al., 2026",PLT,ikdc,25,82.60,6.30,,,,,
58,"Malik et al., 2026",PLT,lysholm,25,89.40,5.80,,,,,
58,"Malik et al., 2026",PLT,tegner,25,5.60,0.90,,,,,
58,"Malik et al., 2026",PLT,instrumented_laxity,25,1.80,0.90,,,,,
62,"Matsumoto et al., 2006",BPTB,ikdc,37,84.30,11.00,,,,,
62,"Matsumoto et al., 2006",BPTB,instrumented_laxity,37,1.20,2.10,,,,,
62,"Matsumoto et al., 2006",HT,ikdc,35,86.80,8.30,,,,,
62,"Matsumoto et al., 2006",HT,instrumented_laxity,35,1.70,1.40,,,,,
68,"Moraiti et al., 2010",BPTB,ikdc,6,92.00,7.00,,,,,
68,"Moraiti et al., 2010",BPTB,lysholm,6,96.00,3.00,,,,,
68,"Moraiti et al., 2010",HT,ikdc,6,90.00,10.00,,,,,
