,,,,,,,,,,,,,,,,,,,,
,,DONE,478,,,Set Lachman and pivot shift at 1+,,,,,,,,,,,,,,
,,TODO,17,,,https://plotdigitizer.com/app,,,,,,,,,,,,,,
,,% COMPLETED,96.57%,,,,,,,,,,,,,,,,,
,id,,study,download,view,screening,subgroup,data_type,outcome,ni,xi,sdi,a,q1,m,q3,b,yi,sei,
60,11,☑,"Beynnon et al., 2002",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/beynnon_2002.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/beynnon_2002.pdf,Included,hamstring,dichotomous,lachman,22,13,7.04,,,,,,,,
61,12,☑,"Bi et al., 2018",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/bi_2018.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/bi_2018.pdf,Included,hamstring,continuous,ikdc,62,90.40,7.10,,,,,,,,
62,12,☑,"Bi et al., 2018",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/bi_2018.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/bi_2018.pdf,Included,hamstring,continuous,instrumental laxity,62,1.71,0.57,,,,,,,,
63,12,☑,"Bi et al., 2018",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/bi_2018.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/bi_2018.pdf,Included,hamstring,dichotomous,pivot shift,62,0,0.06,,,,,,,,
62,12,☑,"Bi et al., 2018",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/bi_2018.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/bi_2018.pdf,Excluded,hamstring,dichotomous,graft rupture,,,,,,,,,,,
65,12,☑,"Bi et al., 2018",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/bi_2018.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/bi_2018.pdf,Included,peroneus,continuous,ikdc,62,89.30,8.40,,,,,,,,
66,12,☑,"Bi et al., 2018",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/bi_2018.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/bi_2018.pdf,Included,peroneus,continuous,instrumental laxity,62,1.85,0.77,,,,,,,,
67,12,☑,"Bi et al., 2018",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/bi_2018.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/bi_2018.pdf,Included,peroneus,dichotomous,pivot shift,62,0,0.06,,,,,,,,
66,12,☑,"Bi et al., 2018",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/bi_2018.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/bi_2018.pdf,Excluded,peroneus,dichotomous,graft rupture,,,,,,,,,,,
,13,☑,"Björnsson et al., 2016",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/björnsson_2016.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/björnsson_2016.pdf,Excluded,patellar,continuous,instrumental laxity,,,,,,,,,,,
70,13,☑,"Björnsson et al., 2016",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/björnsson_2016.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/björnsson_2016.pdf,Included,patellar,dichotomous,lachman,61,7,1.08,,,,,,,,
71,13,☑,"Björnsson et al., 2016",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/björnsson_2016.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/björnsson_2016.pdf,Included,patellar,dichotomous,pivot shift,61,12,1.99,,,,,,,,
72,13,☑,"Björnsson et al., 2016",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/björnsson_2016.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/björnsson_2016.pdf,Included,patellar,continuous,ikdc,61,67.30,20.80,,,,,,,,
73,13,☑,"Björnsson et al., 2016",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/björnsson_2016.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/björnsson_2016.pdf,Included,patellar,continuous,tegner,61,4.10,1.70,,,,,,,,
